#
# (C) Copyright IBM Corporation 2011, 2016
#
# Example of trace output for avgtemp.tcl

PWR1MS_rcnt,TEMPAVG32MSP0C0_value,TEMPAVG32MSP0C1_value,TEMPAVG32MSP0C2_value,TEMPAVG32MSP0C3_value,TEMPAVG32MSP0C4_value,TEMPAVG32MSP0C5_value,TEMPAVG32MSP0C6_value,TEMPAVG32MSP0C7_value,TEMPAVG32MSP0_value,oca_counter
1528179,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,37
1528211,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,38
1528243,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,39
1528275,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,40
1528307,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,41
1528339,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,42
1528371,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,43
1528403,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,44
1528435,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,45
1528467,0.0,40.0,40.8,41.0,0.0,40.0,39.2,39.8,40.1,46
1528499,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,47
1528531,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,48
1528563,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,49
1528595,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,50
1528627,0.0,40.2,40.8,41.0,0.0,40.0,38.8,40.0,40.1,51
1528659,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,52
1528691,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,53
1528723,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,54
1528755,0.0,40.2,40.8,41.4,0.0,39.8,38.8,39.8,40.1,55
1528787,0.0,40.0,40.8,41.0,0.0,40.0,39.2,40.0,40.1,56
1528819,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,57
1528851,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,58
1528883,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,59
